Model,Sampling,Default_Threshold,Default_Accuracy,Default_Precision,Default_Recall,Default_F1,Best_Threshold,Tuned_Accuracy,Tuned_Precision,Tuned_Recall,Tuned_F1,ROC_AUC,TN,FP,FN,TP
XGBoost,RandomOverSampler,0.5,79.4,57.7,83.7,68.3,0.63,83.6,66.9,75.7,71.0,89.7,895,140,91,283
XGBoost,None,0.5,84.0,72.1,65.0,68.4,0.36,83.1,65.2,77.8,71.0,89.9,880,155,83,291
Gradient Boosting,SMOTE,0.5,81.9,62.1,81.8,70.6,0.5,81.9,62.1,81.8,70.6,89.5,848,187,68,306
XGBoost,SMOTE,0.5,81.6,61.6,81.8,70.3,0.54,82.5,63.7,79.1,70.6,89.7,866,169,78,296
Gradient Boosting,None,0.5,84.6,73.9,65.0,69.1,0.32,82.1,62.7,80.5,70.5,89.9,856,179,73,301
Gradient Boosting,RandomOverSampler,0.5,79.8,58.5,83.2,68.7,0.61,82.8,64.8,76.7,70.3,89.7,879,156,87,287
XGBoost,RandomUnderSampler,0.5,79.6,58.0,84.0,68.6,0.65,83.6,67.9,72.5,70.1,89.7,907,128,103,271
Gradient Boosting,RandomUnderSampler,0.5,79.8,58.3,83.7,68.7,0.63,83.0,65.9,74.3,69.8,89.5,891,144,96,278
Logistic Regression,None,0.5,78.5,56.3,85.0,67.7,0.59,81.6,61.9,79.9,69.8,89.0,851,184,75,299
Logistic Regression,SMOTE,0.5,79.1,57.2,85.0,68.4,0.58,81.3,61.1,80.7,69.6,89.0,843,192,72,302
Logistic Regression,RandomOverSampler,0.5,78.6,56.4,85.3,67.9,0.55,80.8,60.0,82.9,69.6,88.9,828,207,64,310
LightGBM,SMOTE,0.5,82.1,64.2,73.8,68.7,0.45,81.7,62.3,78.6,69.5,89.2,857,178,80,294
Logistic Regression,RandomUnderSampler,0.5,78.4,56.2,84.8,67.6,0.59,81.5,61.9,79.1,69.5,88.9,853,182,78,296
LightGBM,RandomOverSampler,0.5,81.1,61.4,77.5,68.6,0.52,82.0,63.4,76.5,69.3,88.7,870,165,88,286
LightGBM,None,0.5,82.9,69.5,63.4,66.3,0.28,80.8,60.2,81.0,69.1,88.8,835,200,71,303
Extra Trees,SMOTE,0.5,80.1,59.7,77.3,67.4,0.55,82.0,63.8,74.1,68.6,88.3,878,157,97,277
Random Forest,SMOTE,0.5,80.4,60.0,78.6,68.1,0.51,80.8,60.7,78.1,68.3,88.7,846,189,82,292
Extra Trees,None,0.5,79.1,57.8,78.3,66.5,0.59,82.0,64.2,72.7,68.2,88.2,883,152,102,272
Random Forest,None,0.5,80.3,59.9,78.6,68.0,0.45,79.7,58.4,81.8,68.2,88.8,817,218,68,306
LightGBM,RandomUnderSampler,0.5,78.4,56.5,81.6,66.7,0.55,80.0,59.1,80.2,68.0,88.4,827,208,74,300
Random Forest,RandomUnderSampler,0.5,79.1,57.8,79.1,66.8,0.61,82.0,64.3,72.2,68.0,88.5,885,150,104,270
Random Forest,RandomOverSampler,0.5,79.9,59.0,79.7,67.8,0.53,80.6,60.4,77.8,68.0,88.7,844,191,83,291
Extra Trees,RandomOverSampler,0.5,79.7,58.9,77.8,67.1,0.52,80.7,60.8,76.7,67.8,88.2,850,185,87,287
Extra Trees,RandomUnderSampler,0.5,78.3,56.5,78.9,65.8,0.62,82.0,64.7,70.6,67.5,88.2,891,144,110,264
